iso3c,Country,region,year,population,Total motor vehicles,EV_adoption,grid_g_per_kwh,ev_g_per_km,co2_total_mt,co2_transport_mt,delta_adoption,annual_km_total,km_shifted,avoided_Mt
ETH,Ethiopia,,2021,122138588.0,10971500,0.01,66.4988062097667,11.969785117758006,17.2771,7.1509,0.49,131658000000.0,64512420000.0,10840.035795173446
UGA,Uganda,,2021,45910930.00000001,10971500,0.01,70.6620853080569,12.719175355450242,7.5764,3.7665,0.49,131658000000.0,64512420000.0,10791.690817415545
CAF,Central African Republic,,2021,5112100.000000005,10971500,0.01,82.54306529583985,14.857751753251172,0.3084,0.1702,0.49,131658000000.0,64512420000.0,10653.726078638525
ESP,Spain,,2023,48347910.000000045,29707000,0.3,172.17867904539523,30.99216222817114,217.26169999999996,92.1021,0.2,356484000000.0,71296800000.0,10623.782008050528
SUR,Suriname,,2021,617896.0000000005,15637250,0.0,385.7658595641645,69.4378547215496,2.6077,0.8134,0.5,187647000000.0,93823500000.0,10373.327437532693
KEN,Kenya,,2021,53219165.99999997,10971500,0.01,113.39063510019406,20.41031431803493,21.4878,10.8216,0.49,131658000000.0,64512420000.0,10295.516830382918
NAM,Namibia,,2021,2810547.999999999,10971500,0.01,124.29788684389914,22.373619631901843,3.9541,1.9174,0.49,131658000000.0,64512420000.0,10168.859253386501
JPN,Japan,,2023,124516649.99999982,76702000,0.39,443.43704268756943,79.8186676837625,944.7586,179.633,0.10999999999999999,920424000000.0,101246639999.99998,10143.023287742462
ARG,Argentina,,2023,45538400.99999999,14025000,0.0,336.6622877395805,60.59921179312449,183.77839999999992,47.4454,0.5,168300000000.0,84150000000.0,10047.576327608575
GIN,Guinea,,2021,13710513.000000002,10971500,0.01,135.8795441102119,24.45831793983814,3.673,1.725,0.49,131658000000.0,64512420000.0,10034.370320571627
LSO,Lesotho,,2021,2261541.999999999,10971500,0.01,176.56316796040034,31.78137023287206,0.7894,0.4475,0.49,131658000000.0,64512420000.0,9561.94249536146
MWI,Malawi,,2021,20047258.00000003,10971500,0.01,186.88692941171433,33.63964729410858,6.227100000000001,0.8187,0.49,131658000000.0,64512420000.0,9442.060545110604
